id_categories,_class,id,title,type
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,144,Năng suất cá nhân,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,146,Năng lực lãnh đạo,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,150,Phát triển sự nghiệp,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,152,Làm cha mẹ & Mối quan hệ,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,156,Hạnh phúc,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,577,Các phương pháp bí truyền,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,158,Tôn giáo & Tâm linh,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,160,Xây dựng thương hiệu cá nhân,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,164,Khả năng sáng tạo,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,166,Gây ảnh hưởng,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,168,Lòng tự tôn & Sự tự tin,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,170,Quản lý căng thẳng,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,172,Kỹ năng học tập và ghi nhớ,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,176,Động lực,subcategory
d62e7ccf-c28a-463f-be4a-e7b5abfcbc76_48_296,course_subcategory,178,Phát triển cá nhân khác,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,6,Thiết kế web,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,110,Thiết kế & Minh họa đồ họa,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,112,Công cụ thiết kế,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,114,Thiết kế trải nghiệm người dùng,subcategory
